nom_clean,nom_gare,x,y,Trafic,Ville,ligne
PORTEDESTOUEN,Porte de Saint-Ouen,650801.1471,6866583.3841,3764392,Paris,13
PORTEDEVANVES,Porte de Vanves,649016.968,6858861.6144,4907106,Paris,13
PORTEDEVERSAILLES,Porte de Versailles,647736.0144,6859390.482999999,6388506,Paris,12
PORTEDEVINCENNES,Porte de Vincennes,656712.3513,6860952.126,7164764,Paris,1
PORTEDITALIE,Porte d'Italie,652985.99,6857874.877,2444086,Paris,7
PORTEDIVRY,Porte d'Ivry,653691.6801,6858106.3134,2045606,Paris,7
PORTEDOREE,Porte Dorée,656352.887,6859578.9511,2850341,Paris,8
PORTEDORLEANS,Porte d'Orléans,650484.043,6858361.4233,6669356,Paris,4
PORTEMAILLOT,Porte Maillot,647424.8025,6864408.6314,8181976,Paris,1
PRESTGERVAIS,Pré Saint-Gervais,655918.6953,6864609.5836,389255,Paris,7bis
PYRAMIDES,Pyramides,651166.726,6863089.243,5277037,Paris,7
PYRAMIDES,Pyramides,651166.726,6863089.243,5277037,Paris,14
PYRENEES,Pyrénées,654913.7648,6863937.4476,3354023,Paris,11
QUAIDELAGARE,Quai de la Gare,653965.0895,6859848.7239999985,3252321,Paris,6
QUAIDELARAPEE,Quai de la Rapée,653463.2581,6860905.8001,1273466,Paris,5
QUATRESEPTEMBRE,Quatre Septembre,651308.6039,6863488.8496,2038075,Paris,3
RAMBUTEAU,Rambuteau,652568.2852,6862546.5161,4074086,Paris,11
RANELAGH,Ranelagh,646444.7925,6861963.8329,2470025,Paris,9
RASPAIL,Raspail,650878.8981,6860087.4642,1995962,Paris,4
RASPAIL,Raspail,650878.8981,6860087.4642,1995962,Paris,6
REAUMURSEBASTOPOL,Réaumur Sébastopol,652468.2482,6863118.3797,5669490,Paris,3
REAUMURSEBASTOPOL,Réaumur Sébastopol,652468.2482,6863118.3797,5669490,Paris,4
RENNES,Rennes,650669.7472,6861144.9041,1288804,Paris,12
REPUBLIQUE,République,653331.8161,6863240.6969,18327920,Paris,3
